Unnamed: 0,text_tweet
76,Sepertinya @univ_indonesia juga harus pindah. ..... Ibu kota negara pusat ilmu budaya bangsa.... ada di Genderang UI. DKJ jd pusat perekonomian. @DKIJakarta @Kemdikbud_RI #Nusantara #jakarta
896,Rocky Gerung Sebut Titik Awal Konflik Prabowo dan Jokowi Makan Siang Gratis dan IKN Nusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Prabowo #Jokowi #makansianggratis https://t.co/iB2YnRbP9S lewat @tribunkaltim
209, Pemindahan ibu kota negara dapat memberikan dampak pengurangan emisi karbon di Kalimantan Timur sebanyak 18 persen imbuhnya. Hal ini secara tidak langsung dapat mengubah struktur ekonomi wilayah tersebut. https://t.co/IsXWZYCGhb
259,@croffletae aku engga doong btw nih ya misal ups tayang di indo nonton gaaa mo ketemu ibu negara nii masa satu kota kaga ketemu ga ding aku anak kabupaten 
158,Kendaraan berbahan bakar fosil dilarang ada di wiliayah IKN #IbukotaNegara #IKNNusantara #PindahIbuKota #AFCU23 Towel Korsel lupainmusuhan saatpemilu #lihatpersamaanya LET'S COUNT 12345 https://t.co/ewqdc2dZtu
495,Pemerintah akan membuka pendaftaran Calon Pegawai Negeri Sipil (CPNS) khusus penempatan di Ibu Kota Nusantara (IKN). Hal itu dikatakan Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (PANRB) Abdullah Azwar Anas. baca selengkapnya: https://t.co/0rJYM1HpeI -BAY https://t.co/HcXelX11s8
525,@KotaNusantara Ibu kota nusantara akan memberikan lapangan pekerjaan baru bagi warga setempat #IbuKotaNegara
331,Tony Blair bertemu Presiden Joko Widodo membahas rencana proyek EBT di IKN Nusantara #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/uBZPhxTZWO
951,Dampak IKN Nusantara Sederet Upaya Ekstra Untuk Menahan Laju Inflasi di Kalimantan #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #Inflasi https://t.co/AYjtx6DPIV lewat @tribunkaltim
314,Sebuah langkah besar menuju masa depan yang lebih berkesinambungan dan inklusif. Dukungan terhadap pembangunan Ibu Kota Negara (IKN) yang baru #IbuKotaNegaraBaru #TransformasiNegara https://t.co/kxTauE7wy2
294,@abangbelneg Bebagai lapiran elemen masyarakat harus mendukung proses pemindahan Ibu Kota Negara ke Kalimantan
381,Pemerintah bakal memberikan satu unit apartemen untuk satu aparatur sipil negara (ASN) yang pindah ke Ibu Kota Nusantara (IKN). Namun hal tersebut hanya diperuntukan bagi ASN yang sudah berkeluarga #TGIMKBFM https://t.co/nS85IXynqU
919,Mantan Gubernur BI Sebut Makan Siang Gratis Lebih Penting dari IKN Nusantara Sorotan Rocky Gerung #IKN #IKNNusantara #IbuKotaNegara #Sepaku #Kaltim #KalimantanTimur #IbuKotaNusantara #makansianggratis #Prabowo #Jokowi https://t.co/DTgEElEFb6 lewat @tribunkaltim
572,Penusukan Massal di Sydney WNI Diminta Waspada dan Hindari Keramaian: Pascapenusukan massal di ibu kota Negara Bagian New South Wales Australia Konsul Jendral RI di Sydney meminta WNI di Sydney untuk menghindari area keramaian https://t.co/BEdMXfOS9v https://t.co/aX1tZAGqEy
874,@KoalisiNetizen Pemindahan ini adalah tonggak penting dalam sejarah peradaban Indonesia #IbuKotaNegara
516,Starlink akan menggelar uji coba layanan internet berbasis satelit di Ibu Kota Negara (IKN) Nusantara pada Mei 2024 Menteri Komunikasi dan Informatika (Menkominfo) Budi Arie Setiadi menyampaikan Starlink akan melakukan uji coba perdana di Indonesia tepatnya di Ibu kota Negara https://t.co/5GEB2htKPI
717,@youthful_mediaa Dukungan Penuh Warga Dayak untuk Pemindahan Ibu Kota Nusantara #IbuKotaNegara
59,Pemprov DKI Jakarta menjamin cetak ulang e-KTP usai Jakarta tak berstatus sebagai Ibu Kota Negara tak akan mengganggu pelayanan BPJS hingga KJP. https://t.co/yMSOo84lrf
673,Kepercayaan para investor terhadap proyek IKN Nusantara didorong oleh infrastruktur yang berkembang dan potensi pertumbuhan ekonomi yang cepat. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/IoHnsNZI0K
557,IKN mengarah pada masa depan cerdas dan berkelanjutan di mana integrasi teknologi IoT dan nilai-nilai keselarasan dengan alam bersinergi untuk menciptakan kota berstandar dunia didukung oleh konektivitas 5G dan inovasi digital. #IKNNusantara #pembangunanikn #Ibukotanegara https://t.co/iB8vgxElaU
743,@ARSIPAJA Baru nama nama provinsi belum nama ibu kota negara. Tapi jujur sih tontonan yt sekarang dihiasi cewe cewe Gimik oon bin tolol tapi tampilan goodlooking seakan cewe harus cantik ga harus punya wawasan luas..b
380,@KoalisiNetizen Potensi investasi akan terbuka luas di sektor properti di Kalimantan Timur #IbuKotaNegara
54,IKN memastikan lapangan upacara sesuai standar FIFA untuk kemajuan olahraga Indonesia. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/4tugCPG1Pj
23,@IKNnusantaraID Kami warga Tanjung Selor mendukung pemindahan Ibu Kota negara #IKNNusantara
30,@IKNnusantaraID Fokus pada teknologi ramah lingkungan akan menjadi contoh global #IbuKotaNegara
953,Walikota Kyiv Vitali Klitschko mengakui bahwa kota tersebut bisa kembali menjadi sasaran pasukan darat Rusia Kyiv telah dan tetap menjadi target Putin karena ibu kotanya adalah jantung negara kata Klitschko dalam wawancara dengan BILD. Tetapi kami jauh lebih siap menghadapi 
429,@abangbelneg Fokus pada energi terbarukan akan membawa manfaat jangka panjang bagi lingkungan #IbuKotaNegara
10,@IKNnusantaraID Kami warga Tanjung Selor mendukung pemindahan Ibu Kota negara #IKNNusantara
653,IKN Nusantara dipastikan tetap aman saat momen libur Lebaran 2024 #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/1hN6eqqm3F
808,@meraaahputiiih Bebagai lapiran elemen masyarakat harus mendukung proses pemindahan Ibu Kota Negara ke Kalimantan #PindahIbuKota
482,Pemerintah sedang merancang pemindahan aparatur sipil negara (ASN) ke Ibu Kota Nusantara (IKN). Kendati membutuhkan sebanyak 11.916 pada tahap pertama tapi tidak serta merta angka tersebut menjadi rujukan pemerintah untuk memindahkan ASN ke IKN. https://t.co/bZglJwjFiG
445,@jokowi IKN itu aslinya cuma lahan bisnis berkedok Ibu Kota Negara.
199,@IKNnusantaraID Semoga pembangunan IKN dilancarkan dipermudah sampai selesai nanti menjadi peradaban baru masa depan baru bagi Indonesia dan dunia #IbuKotaNegara
500,Pemindahan ASN Ke IKN Dilakukan Bertahap: Pemindahan Aparatur Sipil Negara (ASN) ke Ibu Kota Nusantara (IKN) dilakukan secara bertahap. https://t.co/bIsT5DSuIJ
904,Menteri Kesehatan Budi Gunadi Sadikin membutuhkan 23.200 formasi Calon Aparatur Sipil Negara (CASN) 2024. Sekitar 1.000 posisi akan ditempatkan di Ibu Kota Negara (IKN) Nusantara. https://t.co/QBN57dR6Gv
107,AHY sebut Sejumlah Pilihan Pembebasan 2.086 Hektar Lahan di IKN Kaltim yang Masih Bermasalah #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur https://t.co/y4PoitZFHd lewat @tribunkaltim
218,Inovasi berbasis teknologi: Langkah strategis untuk mewujudkan kota-kota pintar di Indonesia. #IbuKotaNegara #IKNNusantara #PindahIbuKota kOREA #ASIANCUPU23 #TIMNASU23 SHIN TAE YONG #AFCU23AsianCup2024 BUNG TOWEL WASITNYA WITCHCRAFT https://t.co/VQCIbIYkjc
420,@abangbelneg Kami warga Jambi mendukung pembangunan IKN Nusantara #IbuKotaNegara
174,Rektor Unhan RI Pimpin Upacara Pengantaran Satgas Latsitarda Kadet Mahasiswa Unhan RI di Ibu Kota Negara (IKN) Kalimantan Timur TA. 2024 https://t.co/XdIBpkfSjT https://t.co/8zJbdNnPRb
894,Landasan pacu Bandara VVIP IKN bisa mengakomodir pesawat besar #IbukotaNegara #IKNNusantara #PindahIbuKota Tuku Fore IPHONE 11 GRATIS Licha Giring Akmal Sahur eSIM Tidur https://t.co/QiesFadEwM
518,HGB 160 tahun/190 tahun bebas pajak 30 thn diskon pajak 350% itu sama artinya kehilangan Ibu Kota Negara DKI dan IKN. Bisa beli properti di IKN tanpa tunjukkan NPWP itu artinya pemerintah mendorong maraknya Tindak Pidana Pencucian Uang #MakzulkanKacungRRC #MakzulkanKacungRRC https://t.co/4FGVuCOmOl
453,Menteri Pendaya Gunaan Aparatur Negara dan Reformasi Birokrasi Abdullah Azwar Anas memastikan para ASN akan mulai pindah secara bertahap ke Ibu Kota Negara pada bulan September mendatang. https://t.co/ns6OyEQkD6 https://t.co/FkujPG4lxZ
